comment_content,comment_rate,comment_time,comment_vote,comment_author
虽然小黄人是配角，但是每次出现，操着一口汉日意大利西班牙语糅杂的小黄人语，就激发萌萌的笑点。阴阳两派的搭档设定，偷钻石路上挺好玩。第一次和学生包场看，体验非凡，恐怖海峡音乐响起尤其振奋。另外现在豆瓣评分越来越苛刻，仿佛打高分就会显示口味大众不高端？但是一些文艺片烂成渣渣还捧上天？,allstar30 rating,2017-07-02 10:41:23,1310,刘小黛
黔驴技穷强行续集，各种尬舞想复制《欢乐好声音》的成功？连小黄人都变得这么无聊了，大概也只有铁杆真爱粉才会硬撑看完并强行从嘴角挤出母爱般的微笑吧，尽管这个孩子已沦为了圈钱工具，远不如初生时那般可爱。,allstar20 rating,2017-06-24 13:19:48,792,痞影人科莱昂
一开始看豆瓣分这么低吓死我了2333...还好来看了，我觉得还是好好笑，天啊dru太可爱了哈哈哈哈..,allstar50 rating,2017-07-04 12:12:45,1104,超高校软体动物
与功夫熊猫3类似，回归第一部架构的一部续集。优点还在，但是现在这个年代，大家认为不超越就是平庸。,allstar40 rating,2017-07-01 15:57:36,707,EC@Star
看点是向特摄片致敬和最后尬舞大战，重点放格鲁两兄弟，小黄人成了刷存在感的摆设，与外传疯狂榨取其贱萌价值的做法呈两个极端，80分钟一主两副三条线，结果没一条出彩，笑点硬撑，无聊透顶，这类故事创意均已匮乏，只凭个人气角色就硬拍续集的系列真没必要继续了。烂番茄开局89%简直不可思议。4/10,allstar20 rating,2017-06-17 17:48:20,434,瓦力
Mel的监狱回忆我简直要哭了呢。,allstar50 rating,2017-06-30 17:02:52,319,11
偶尔好看，整体难看。和一群小朋友看，难得的没有以往的吵闹和嘻嘻哈哈声，笑声加起来也就两三次，第一次在照明娱乐三个小黄人搞笑的桥段上，剩下的也还都是在小黄人出来的时候。兄弟情、斗坏蛋和小黄人等几条线没有一个好玩的，整体用力平均，没啥侧重点，失望！,allstar20 rating,2017-07-01 16:37:47,370,方枪枪
音浪太强不晃会被撞到地上(≖‿≖)✧ 真希望Agnes永远都不要长大。,allstar30 rating,2017-06-25 02:38:45,338,李阿斗
哪有说的那么不堪啊…看的点映坐满了人，虽然没什么全场都在爆笑的情节但还是有一些有意思的桥段的，可能也是1实在太棒了作为后续很难再超越…支线有点多而时间不够长确实显得有些情节很薄弱…找到几处彩蛋很开心嘻嘻,allstar40 rating,2017-07-01 16:48:44,327,刘大怪提不起劲
这个系列的价值已经被吸干了，真的没有再拍下去的必要了。这一部的故事乱七八糟，支线多到自己都讲不完，连小黄人奋力卖萌也得不到影院里的半点笑声，这是一个多么可怕的事实！主创居然还用大反派来讽刺好莱坞，你们把电影拍成这样还有脸讽刺别人？先照照镜子看清自己吧。,allstar20 rating,2017-07-04 10:28:58,180,饮歌
为了卖玩具和周边，新角色越来越多，每个角色还要给戏份，结果格鲁兄弟情的主线被各种支线冲击的支离破碎，偷钻石的主线都快沦为摆设了，只是编剧自己快要写睡着的时候，拿出来提醒一下自己，戏剧任务还要偷钻石。小黄人的戏越来越想，以后想看小黄人，只能等小黄人番外篇的续集了，出品方真奸诈。,allstar20 rating,2017-07-07 14:59:20,144,亵渎电影
太好了Gru，我知道你再也不会孤独了。,allstar50 rating,2017-07-06 17:12:17,151,木由
主黑MJ，兼黑肥宅和欧洲人。好好笑，一扫照明娱乐前两部的颓势，果然好料都给主菜留着呢。最可爱的是大反派，童星出身，八十年代的pop star，一言不合就斗舞，怀旧金曲crossover哥斯拉，十分kuso。,allstar40 rating,2017-07-01 17:05:00,104,m89
很好看呀  小黄人你们都想讨论出点人生意义吗。。。。看完立刻去吃了麦当劳套餐,allstar50 rating,2017-07-05 07:28:46,126,贪睡神兔
这样敷衍了事的剧本真让我有种想打人的冲动，为了卖周边已经到了胡闹的地步，唯一的看点是一些八十年代的元素大堆砌，如舞厅灯、健美操、MJ、金曲串烧。。。。。。其他的，就不值得说什么了。,allstar20 rating,2017-07-07 22:03:47,72,妙可中国
ᕕ(ᐛ)ᕗ变身!毕竟都是小黄，满分，无解呀！,allstar50 rating,2017-07-07 23:53:51,88,小黄鸭
"1.又是3D，看着好累眼，建议看国语配音版，无论大人还是小孩。
2.好莱坞这种续集无限开发模式，越来越创意乏力，沦为圈钱的系列电影了。
3.小黄人戏份很少，卖萌的桥段自然就少了，电影可爱起来有点吃力了。
4.唯一惊喜的一点是拖格瓦拉的福，见到了大张伟大老师，比小黄人还可爱，哈哈。",allstar20 rating,2017-06-30 18:31:36,72,津五渡
7分。一部全方位、无死角、慢镜头展示“盖尔·加朵真美啊！“的电影。,allstar40 rating,2017-06-01 07:22:35,7372,桃桃淘电影
四肢发达头脑简单一心想拯救世界的圣母，抱歉这样的女性角色一点也不可爱，跟女权更是八杆子都打不到。其他女配角也不过是男人婆、巫婆、负责搞笑的胖女人（唯一可爱的角色是男主角），在当下的社会和工业语境拍女英雄，感觉女导演自己都很迷失。,allstar20 rating,2017-05-30 21:56:18,4122,萨库拉
确实好颜好腿，但还是拉不动拖沓生硬的剧情。人物形象单薄，从头到尾大爱无疆，没有弱点没有改变。超级英雄成为英雄之前先站住成为一个有血有肉有感情的人物好吗。出岛前每一段情节过度都非常突兀，一些台词极度中二，即使对英文容忍度较高还是不忍直视。所谓的笑点全场下来笑不过三次。真的不如漫威…,allstar20 rating,2017-05-31 02:44:35,4057,饼子
【B+】沃日太好看了！而且非常难得的是，电影并没有在经历DCEU几番口碑失败后向漫威靠拢，反而是在扎克施耐德打下的原有主题基调下做的更好更成熟。不再功利十足的消费漫画角色，不再急于求成的胡塞海填，从头开始，稳扎稳打认认真真讲述一个异族英雄的成长故事，这TM才是观众想看的DC电影啊！！！,allstar50 rating,2017-05-31 22:13:51,3623,掉线
一部极度平庸套路的流水账。DC的不思进取让人失望。无任何惊喜可言，相反让人出戏的Bug层出不穷。在孤岛与世隔绝对人类社会一无所知的神奇女侠居然知道土耳其等国家及其语言。其读的书又从何而来？一人一盾就能吸引全部火力？反派身为战神竟如此羸弱不堪，实在大跌眼镜。女主很美但片子很水。两星半,allstar20 rating,2017-06-01 13:46:20,3028,汪金卫
非常惊喜，这位名不见经传的女导演给所有男性导演上了一课：如何在保证场面和视效的前提下，兼具大爱和小爱。感情戏拿捏的恰到好处，最后的大战效果也不错，旁边的妹子一直在抽泣，这次终于为DC扳回一城。不过最大的缺憾在于，最后反派的扮相真的丑爆了，瞬间出戏…以及，评论里说圣母的都什么思想…,allstar40 rating,2017-05-31 21:59:35,2970,痞影人科莱昂
是因为DC前几部扑得太惨烈了，所以一点点进步大家就集体高潮了吗？故事其实蛮一般的啊，说好的大女主电影结果被男主硬生生抢了一半的戏。当然加朵女侠实在太美了，不是美而是帅！打斗戏尤其帅！！女侠V587收我膝盖！！！,allstar40 rating,2017-06-01 09:50:49,2211,同志亦凡人中文站
黛安娜，你不仅拯救世界，也拯救了DCEU！豆瓣和IMDB分数差距太大，短评纯粹是为了黑而黑！你们有些人是被漫威电影看傻了吧？吐槽语言的，雷神为什么讲英语？银护全宇宙通用英语吗？说剧情幼稚的，比跳尴尬舞还幼稚？一神持一盾为什么不能吸引火力？双标党滚粗！漫威粉只是单纯地痛恨DC吧！,allstar50 rating,2017-06-01 03:40:49,1988,AdaWang
神他妈DC在漫威面前小儿科，评论区就不该看，真的好意思拿出了三部的美队，钢铁侠和即将三部的雷神，两部复仇者，两部银护，等一堆X战警系列跟电影刚起步的DC比，为什么不拿奇异博士，蚁人跟神奇女侠比。非要踩一捧一，这么优越的吗。既细腻又超燃，导演已经很棒了嗯！神奇女侠超coooool！,allstar40 rating,2017-06-01 11:33:23,2091,LvZong
DC新片头酷炫惊人！Gal真是最完美的神奇女侠！古希腊女神般健美身材和完美雕饰略古铜色的脸庞，每处特写亮眼惊艳，每处战斗都呐喊出女人撼天动地的力量！《Is She With You》配合单打独斗的女侠凌厉迅猛斩向德军的镜头看得我飙泪了！迫不及待想看神奇女侠单挑超人(啥)和《正义联盟》！派派好催泪QAQ。,allstar50 rating,2017-05-31 23:28:10,1895,何婊砸
满满槽点不知从何吐起、感觉编剧是小学生导演是中二病配乐是懒癌、战争戏拍的就像是开玩笑（一个盾吸引全部火力你敢信、男演员丑、一张前番里的破照片拍了一个半小时、台词特别水、女神变身仪式太朴实无华了、女神还是美但是再也不酷了,allstar20 rating,2017-05-31 16:54:04,1259,虎哥
,allstar50 rating,2017-05-31 22:59:43,1683,Coachella
为什么一部超英片最后拍的如此柔软又煽情TAT 预告片完全没有泄露，最后被击中内心柔软没有一点点防备，第三幕情感上的饱满和升华完全弥补了其余不足，好久没看这种传统超英片，曾经沧海难为水，返璞归真。这才是超英的古典之美！ps：DC新logo赞！完全致敬了正义联盟动画的经典开场,allstar20 rating,2017-06-01 17:54:29,1188,搞事的豆豆
"好久没看过这么难看的超级英雄片了....上次看超级英雄电影觉得“这特么是什么鬼”的时候应该是看铁人3最后一堆铁人在天上炸烟花那段，简直同样的一脸懵逼
最后大boss跑出来莫名其妙，我是少看了一段吗请问
真是白瞎我卢平教授了，这么低能的反派，千里送人头，然后死于话多，简直在逗我",allstar50 rating,2017-05-31 22:10:15,1153,高等游民阿朽
女性导演果然是摸的清女性需求，女主美的没法嫉妒，打架招式漂亮。全程都在脑补“峨眉派掌门救了抗日小将赶跑小日本”的故事。毕竟有点“影迷”包袱，怎么能在“男主赴死前交给女主信物且说了句我爱你”这种场合落泪呢（眼泪珠子打了好几圈滚回去了）。,allstar20 rating,2017-06-01 00:39:24,922,法兰西胶片
开篇平庸，中段因为向漫威看齐所以还蛮有趣，但第三幕，特别是从俩人上完床之后开始整段整段垮掉，穿晚礼服还背着大宝剑你屁股不淌血吗请问！看着朋友圈大批大批感动，有点吓尿，没感觉你们最近过得很苦啊…最后你们渴望的女权都纯扯淡，“相信人类充满爱”这明明是男权对女性最low的想象。,allstar10 rating,2017-06-02 03:14:48,932,ZeonGin Sou
容在下说句大实话：这片，极其，烂。满腔热情的0点场，却遭遇连场大雨：拖沓生硬的流水账出场，无聊没趣俗套的世界中心呼唤爱【超蝙设定不是对人类的失望？你才不是伟光正的WW！】，强行炫技失败的无谓平行剪辑，四流页游般的BOSS战，从头到尾充斥着低龄的尴尬！这货能对得起盖尔加朵的努力吗？？,allstar50 rating,2017-06-01 00:00:13,770,旧书君
第一感觉是Bright，仿佛不在DCEU。奠定亲民基调。它很好，不仅仅在于女性英超，也好在它就是一部普适改编的起源开篇。这点就值得满分。公主的每套衣服都帅出血、派派全程明目张胆开车、阿瑞斯的人设反差达成预期。对了对了，DC的LOGO新片头甩M家综艺节目片段集锦几条街！,allstar40 rating,2017-05-31 23:13:41,738,CyberKnight电子骑士
太惊喜了！至今为止年度最好看的超级英雄电影！剧本细腻，角色丰满，叙事流畅，场面动作漂亮带感。超级英雄电影拍成这样基本没啥遗憾了。女导演果然气质独特。故事讲得不疾不徐，有大量感情铺垫和细节支撑，丝毫不干瘪。影片特别女性视角，比如女主角救男主角，女主角看男主角洗澡…唯一不足是反派单薄,allstar10 rating,2017-06-04 13:02:40,499,frozenmoon
手撕鬼子+伪女权+超级英雄+反战情怀…一切投机元素的集合。女主角被塑造成既性感又呆萌的形象，有着成熟的肉体和连雪花都没见过纯洁，这本身就是男权视角的，还非要表现得特别女权化。用护腕挡子弹可以被接受，如果中国导演拍一部孙悟空用金箍棒挡炮弹，想想会被喷成什么样?,allstar20 rating,2017-06-02 03:45:56,434,seabisuit
谁有死亡笔记？片尾有从导演到演员的名字。,allstar10 rating,2017-08-26 16:12:33,261,哼哼.竺
日本中二少年拿到死亡笔记后想到的是成为新世界的卡密，美国二逼少年想到的是快告诉那个身材很棒的拉拉队队长……小畑健和大场鸫脾气真好啊，在试映会上居然没有跳起来骂娘……,allstar10 rating,2017-08-26 16:47:10,106,路西法尔
夜神月气得从棺材里跳出来，在小册子上写下Light Turner的名字……,allstar20 rating,2017-08-26 13:45:34,83,蛋挞
好蠢的Kira，好丑的硫克，好黑的L。不按原作剧情走是明智的，不然会感觉更糟吧。,allstar20 rating,2017-08-25 23:09:00,55,颜落寒
……你也配叫【基拉】？,allstar20 rating,2017-08-25 23:57:39,55,蚂蚁没问题
一个洗成黑人一个洗成白人，够任性的啊？当然剧情也很制杖了，男主看到死神后尖叫的鸡嗓子雷死我...,allstar20 rating,2017-08-27 03:58:55,27,同志亦凡人中文站
虽然压根没抱多大期待，看罢还是难免的失望，如此平庸的翻拍，终究还是朝着最不想看到的方向去发展了，离奇古怪的死法成了最大的噱头，整个一低配版《死神来了》，DN系列最大的看点本是逻辑的博弈，智商的较量，结果每个人就只会歇斯底里的大吼大叫…毁了L那么讨喜的人设…迷离梦幻的复古风配乐加一星,allstar20 rating,2017-08-26 21:24:35,16,W3IQ7≯
太美不日！剧情弱智！还有个歇斯底里的L？are you fucking kidding me？,allstar10 rating,2017-08-27 11:33:19,15,Ron Chan
天将降笔记于斯人也，必先苦其心志，劳其筋骨...网飞这次选角太不走心了，全程心疼威廉·达福,allstar20 rating,2017-08-25 22:28:06,12,痞影人科莱昂
一切都那么廉价……,allstar10 rating,2017-08-26 02:42:33,16,AriesSo
果然是老美，上来就爆头穿喉。反社会人格被掰成原生家庭隐患，月有这么蠢，要死神手把手教，还会被美色诱惑，乖乖交代dn秘密？L一出场更是画面全崩，日语アクセント拿去喂狗了，垃圾R级片，还我萌萌哒硫克！,allstar10 rating,2017-08-26 01:31:51,25,unnanae
我操你妈，这什么反智的剧情，编剧到底看没看过原作，就算看一眼原作简介，也编不出如此神幻的剧本吧？男主跟硫克都丑成一逼，黑L时常饱含口水，求你们别拍第二部了！,allstar10 rating,2017-08-26 01:10:21,20,妖一
寡淡无味的美式校园偶像剧,comment-time ,2017-08-26 15:50:44,12,AMY园
Netflix砸招牌的一次，烂！透！了！,allstar10 rating,2017-08-26 09:43:13,10,baburuzu
好傻好冲动的Kira啊，好蠢好鲁莽的L啊，好让人上火的剧情啊，空套一个Death Note的壳却没有魂，还不如拍得猎奇一点，类似《26种死法》或者《死神来了》这样可看度还能再高一些。,allstar20 rating,2017-08-26 12:58:52,11,Lotte-F
看过的最佳真人版，把中二原著拍成了普法教材。剧情专注于人治和法治的优劣比较，不拖泥带水：初次见面L便一句话指出基拉的逻辑漏洞，基拉和女友在硫克（欲望）的煽动下迅速从“正义”滑向对死亡笔记（权力）的追逐。制造节奏和气氛的音效处理是亮点。,allstar30 rating,2017-08-25 23:13:39,12,小J²
这哪是《死亡笔记》，这分明是《死神来了》；各种花样翻新的死法，美日完全不同的价值观。日版L与夜神月是天才与天才之间卓越巅峰的头脑战争，美版则是心理变态高中生对使人花样致死的恶趣味迷恋；为了接地气把情节人设改得面目全非，最后剩下的其实就只有【死亡笔记】这本小本子了、、,allstar20 rating,2017-08-29 12:42:16,2,奔兔吉尔
美版死亡笔记的风格比较怪异呀！硬生生地给拍成了多重拼接的美式拼图，尤其是那几首爱情歌曲配乐，太诡异了。,allstar20 rating,2017-08-26 14:56:58,4,空语因明
看了预告竟然有点期待//////看完之后，我错了，黑人 L 神态宛若智障,allstar30 rating,2017-08-31 15:09:51,0,犇赑猋靐矗麤毳
改动很多，完全的青春电影向。没看过原作的话大概是可以给个合格分的，但与原作对比就太吐血了。主角太青（chun）春，L的萌点几乎全没，女友烦人，管家挂得冤，看得吐血。,allstar20 rating,2017-08-26 11:08:28,6,nikki
你国的科幻片，远不及我国的历史片来的精彩。,allstar30 rating,2017-08-21 15:38:04,487,哼哼.竺
民众不就是这么好骗吗？都不知道短评在说些什么。你应该质疑的是一段烧小孩子的视频就能让盘踞顶端三十年的领袖下马，毕竟这才与我们这个世界的规律不相符合，不是吗？？,allstar40 rating,2017-08-20 14:06:24,228,正在
中文片名翻译为“超生游击队”简直碉堡，还以为是宋丹丹、黄宏演的,allstar30 rating,2017-08-11 17:06:33,288,W&D
作为中国人看这个设定，觉得太搞笑了。这帮人穷极脑细胞，最多也就想出来一个把超生的孩子冷冻这么个桥段，还佩戴手环检查是否独子。我们这里随便哪个村子对付这些的办法都能把那帮老外吓死。三流反乌托邦的幻想和有些地方已经发生过的现实相比，根本不值一提。,allstar20 rating,2017-08-20 23:51:14,165,frozenmoon
葫芦娃，葫芦娃，一根藤上七朵花。抛去那些扯淡的剧情，我对反乌托邦电影最大的不解就是，为什么科技那么发达，却不会种地。,allstar20 rating,2017-08-19 13:03:18,163,阿冉
据说上班族和学生党对本片十分感兴趣，纷纷表示猎杀星期一刻不容缓。,allstar30 rating,2017-08-20 20:45:30,211,康报虹
葫芦姐妹大战计生委。女主角演技神爆发，应该拿七份片酬。,allstar50 rating,2017-08-19 17:17:39,175,KevinZii
平行宇宙吧，反正肯定不是我们这个社会发展出的近未来：民众不但好骗连小孩深度睡眠了都不知道要看一眼，吃不上饭还坚持多生孩子，又饿孩子又被带走连抗议都没有；食物短缺，女主都吃挪威老鼠肉了，政府却不知道实行配给制...唯一亮点就是劳米姐姐演七个人,allstar20 rating,2017-08-20 00:25:12,55,猫咪建筑师
什么国家连续执行三十年一孩计划还没缓解人口爆炸？这人口基数得有多大？这么大的人口基数居然没引起战争和瘟疫？,allstar20 rating,2017-08-21 16:16:29,55,沉甸甸
很有趣的设定，但是故事编得太糟了,allstar20 rating,2017-08-19 22:03:28,81,mark
我国多年国策笑而不语。剧情漏洞百出（反乌托邦的通病），但所幸整体节奏还是控制得不错。会电脑一定能活到至少第二幕结束。一人分饰多角够拼不过完全达不到黑色孤儿那种逆天水平，倒是威廉达福突然变正常之后迷人得一塌糊涂。,allstar30 rating,2017-08-06 08:05:49,71,Lycidas
搞基就能解决的问题偏要搞这么复杂。,allstar20 rating,2017-08-20 17:24:13,55,硬搞
还真不一定是科幻。,allstar40 rating,2017-08-21 00:11:15,40,等一个人
食物供给可以理解为有工作有钱就能买到（无配给制或配给制下能在黑市买食物），但我就问，购物扫描识别码，就没人发现这妹子每个月要买7人份的姨妈巾或棉条？达福外公撑死了能多买一人份而已。概念不新，bug无数。网飞的投资太好骗了。各国应向天朝学习计划生育的先进性经验。,allstar20 rating,2017-08-22 11:41:28,22,龙龙-FazoR
两星半。和网飞最近拍的大多数电影一样，噱头远大过内容，加上这个概念并不新鲜，因此可看度被大大削减。,allstar20 rating,2017-08-19 12:27:18,15,痞影人科莱昂
剧本这么烂还拍的这么认真，真是不容易。一星给诺米,allstar10 rating,2017-08-20 13:19:20,21,惨绿青年
噱头型电视电影。,allstar20 rating,2017-08-19 19:34:54,17,Creep_
Netflix的新片，剧情基本上都是在漏洞百出的情况下完成的，有一个反乌托邦的设置，最后浪费了一切设置。女主角的一人分饰七角，七姐妹的性格塑造方面还不如一美的23个人格分裂。,allstar10 rating,2017-08-23 18:48:18,17,亵渎电影
网飞搞得东西还真是拍一部烂一部百试百灵，就想看你们宣布的30个新项目还能烂完不.......以及干脆改tag叫Watch Netflix and 翻白眼 比较合适,allstar20 rating,2017-08-19 20:11:58,8,Kelsey_
结尾什么意思？Monday 到死时良心发现希望所有孩子都能存活？然后剩下的两姊妹还一脸欣然地觉得帮 Monday 完成了夙愿？其他姐妹死了就死了？,allstar40 rating,2017-08-19 16:31:47,20,fangdaj
男主长得太恶心了 皮肤超差一脸坑 嘴巴像含着dick一样 演技浮夸 还爱翻白眼 一脸死了妈的表情 说话口音想吐 好好一部片被他毁了 这应该是我看过的最恶心的男一号 没有之一了,allstar30 rating,2017-08-03 12:34:19,343,lionart
,allstar50 rating,2017-06-15 21:51:50,595,Dick8045
最後以一個鬼故事結尾，那故事本身極老梗，老梗到都忘了最髒不過人性，拆開裡面全都是黑的。片子反轉多次，動能都來自於他先讓人看到人的善良與正直，最後卻又全部反過頭來跟你說，嗯其實之前只是跟你開開玩笑。這群人共同羅織了一個鬼故事，遠比真有鬼的還恐怖。,allstar40 rating,2017-07-30 22:07:14,367,方枪枪
完成度很高，剧情发展和翻转也都颇具想象，可以当作是另一种话语情境下的“罗生门”，立场指向叙事。导演将一个雨夜交通事故与颇多人物巧妙的联系起来并成功圆满的收尾，每个人都是迷局里的一员，无人可以逃脱。最喜欢的还是整部片子写尽人性之恶，足够黑暗。,allstar40 rating,2017-08-03 23:09:32,231,内陆飞鱼
不错，惊悚片完成到这个程度，对华语电影来讲真是一个奇迹，故事编圆了，一再反转却不跳脱，人物之间设置了一层细密的网，都是一条绳上的蚂蚱，不过，因为太追求“设计”和关联，所以略显刻意，逻辑性、合理性差了一些，人物感染力也就弱了，李安儿子李淳这次有爆发力。四星推荐。,allstar50 rating,2017-07-30 11:45:17,368,文森特
牛逼牛逼牛逼，妈的这剧本神了，拿好这是我的膝盖,allstar40 rating,2017-06-23 16:23:11,246,桃桃淘电影
7。剧本很用心，把几条线混在一起，而且做了不少设计。剧情与角色的反转也都有惊喜，可看度还不错。,allstar40 rating,2017-08-05 01:09:10,211,哪吒男
没有好人，拒绝真相，直面黑暗的台湾电影是不是当前异常光明健康的华语电影世界最后的“净土”。,allstar20 rating,2017-06-24 10:09:41,107,深津奈留
这片会上院线。重点是片不行。悬疑或黑色犯罪片定位不准，技巧又很差，悬念设置无惊喜，前40分钟还有点悬疑色彩，后面全是犯罪者们争先恐后跳出来自白，犯罪部分也没力度。院线大概会扑。|以上仅针对上影节放映。看了完整版，差别太大。完整版可以改到4星。,allstar30 rating,2017-07-29 09:03:35,96,痞影人科莱昂
算不上烂，只是拍法太俗套了，尽管多次反转增加了影片可看度，开头的夜雨也不由想到前年的《烈日灼心》，而《烈日灼心》的高明之处在于一开始就把罪犯甩给了你，而本片不过是导演自己一厢情愿的数次推演，如果你看得够仔细，随着几位主角关系的铺开，你会发现导演苦心经营的多次反转其实也不过如此。,allstar40 rating,2017-04-19 17:15:27,145,陆支羽
3.5。1.碎镜之眼，惊艳！2.李淳这一次贡献了深藏不露的惊人演技，庄凯勋的角色则让我想到陈果镜头下的李灿森。3.窥望式摄影，碎片化剪辑，以及略烧脑剧作，数度反转很厉害。4.程伟豪导演好年轻！,allstar30 rating,2017-08-07 20:10:35,61,掉线
【C+】只有解谜，没有设迷，让故事只剩下结构，全无悬念迭生的快感。,allstar40 rating,2017-08-10 23:25:41,73,亵渎电影
导演用两个小时讲了一个非常复杂的故事，剪辑模糊了时间线，配乐让观感更加躁动不安，各种倒叙插叙，情节不断反转，这样的剪辑方式，既保证了情节的快速推进，也方便填补故事线的漏洞，人性随着真相的解开，也在不断黑化。这不再是一部普通的类型片了，而是不折不扣的作者电影，这位台湾新导演够硬！,allstar40 rating,2017-07-31 21:55:26,68,frozenmoon
翻转翻转再翻转，好人还是坏人，不过在人性的闪烁瞬间。所有人演技都在线，自然又生动。,allstar40 rating,2017-06-21 15:39:04,83,徐若风
电影节看的唯一华语片（因为怕台湾惊悚上不了院线），结果汉字简化完善，还加了迎合内地价值观“自首”结尾，看了龙标阉割版，不免泄气。和导演处女作比，制作水平脱胎换骨，繁复的七八次反转都能清晰地圆回来，节奏气氛一路吊着。李淳的表现亮眼。可惜太依赖于巧合，人物也有点写崩。#二刷完整版4星满,allstar40 rating,2017-06-23 18:27:49,70,释凡说影视
程伟豪不愧台湾惊悚片新高手，从车祸目击牵扯出九年前凶手、酒驾逃逸、师徒偷情、绑架、强奸性奴隶、撕票一应俱全，跌宕起伏、反转频繁、惊心动魄，庄凯勋全程黑眼圈猜疑侦破，心理悬疑绝佳，后面一黑到底，所有人都有污点、罪恶、阴暗面，男一讲鬼故事冷笑话结局，不禁让人脊梁发凉，坏淫三观尽毁,allstar30 rating,2017-08-06 19:38:24,26,易老邪
剧情刻意追求精巧，编排痕迹太重，人物行为动机过于牵强生硬。,allstar20 rating,2017-03-24 00:55:09,36,圓心
劇本有種寫到哪才在想怎麼解決之感，動機和懸念的處理粗糙，氛氣賣力做足，但略欠說服力，2017.03.08@京都,allstar30 rating,2017-08-05 00:50:58,35,一匹马赛克
电影拍的用心，小惊喜不断，但是！评论区吹捧的也太高了，罗生门式的叙事和不停反转导致逻辑问题不胜枚举，要不是分数这么高真的看不下去，且也能猜到这些配角们肯定各自有戏，李淳的演技有提升但明显也差很多好吗！好的电影值得肯定，但是这么抬高实属夸张，还类比追击者..我的妈呀。期待导演新作！,allstar40 rating,2017-06-23 20:22:25,42,木卫二
过多反转与闪回，几乎要闪瞎一众人狗眼，黑天黑地黑得入骨，导致电影放弃人物角色塑造的前世今生，沦为吊着观众好奇心的功能人物，快感一时爽。没有好人，或是一般好片。难做好人，则需要更上一层楼。那么积极去查自己的家伙，太讨厌啊,allstar30 rating,2017-08-05 00:10:35,52,大島
